,location,category,title
0,서울,1,경복궁
1,서울,1,북한산 국립공원
2,서울,1,명동 쇼핑 거리
3,서울,1,창덕궁
4,서울,1,한국 전쟁 기념관
5,서울,1,국립중앙박물관
6,서울,2,안산자락길
7,서울,2,북악스카이웨이
8,서울,2,봉화산
9,서울,2,주렁주렁 - 타임스퀘어점
10,서울,2,용마산
11,서울,2,한강시민공원 광나루수영장
12,서울,3,명동난타극장
13,서울,3,홍대난타전용극장
14,서울,3,정동극장
15,서울,3,국립극장
16,서울,3,샤롯데 씨어터
17,서울,3,시네코아비밥전용관
18,서울,4,쿡코리언
19,서울,4,익스클루시브 투어 코리아 - 프라이빗 당일 투어
20,서울,4,Hello K Cooking Class
21,서울,4,자넷 쿠킹스튜디오 & 서울 푸드 투어
22,서울,4,오미 요리연구소
23,서울,4,케이 쿠킹클래스
24,서울,5,롯데월드타워&몰
25,서울,5,광장시장
26,서울,5,스타필드 코엑스몰
27,서울,5,남대문시장
28,서울,5,가로수길
29,서울,5,신세계 백화점 본점
